iter	MAPE	RMSE	R2	MAE
0	0.05869802219	0.9837518726	0.04073112352	0.7835629525
1	0.05743689696	0.9635468249	0.0797308592	0.7667109574
2	0.05620999525	0.9437978788	0.1170681088	0.7503257502
3	0.05500039772	0.924686058	0.1524646351	0.734157016
4	0.0538119488	0.9057759809	0.1867748339	0.7182534375
5	0.05266605268	0.8874927463	0.2192736558	0.7029687972
6	0.05155751319	0.8696974873	0.250268703	0.6881615846
7	0.05049589559	0.8526298523	0.2794066033	0.673971086
8	0.04944357986	0.835935606	0.3073483742	0.6598867485
9	0.04841580597	0.8195404801	0.3342517561	0.6461461192
10	0.04741713614	0.8037084728	0.359725356	0.6328030975
11	0.04645453794	0.7883746782	0.3839236416	0.6199311715
12	0.04550432897	0.7734439734	0.4070379085	0.6072476382
13	0.04458842414	0.7588849267	0.4291512382	0.5949806898
14	0.04368398701	0.7446781689	0.4503244062	0.5828981439
15	0.04283473406	0.7309636355	0.4703844187	0.5715324049
16	0.0419972842	0.7175217748	0.4896837706	0.560338944
17	0.04118008823	0.704643731	0.5078376417	0.5494465226
18	0.04036891263	0.6918569039	0.5255376365	0.5386017409
19	0.03961368709	0.6799220132	0.5417658899	0.5285173572
20	0.03887343764	0.6681170043	0.5575397503	0.5186267006
21	0.0381521072	0.6564872909	0.572809235	0.5089779081
22	0.03742663278	0.6451274506	0.5874655197	0.4992967261
23	0.03673553215	0.6344181529	0.6010482154	0.4900611839
24	0.03603554395	0.6235586368	0.6145892644	0.4806979741
25	0.03537003882	0.6131505304	0.6273480257	0.4717879825
26	0.03476785631	0.6033468457	0.6391694478	0.463749923
27	0.03413952015	0.5936380914	0.6506886236	0.4553400393
28	0.03353648654	0.5841764074	0.6617348654	0.4472574031
29	0.03295870406	0.5750715859	0.6721969204	0.439529222
30	0.03240802972	0.5661730659	0.6822631247	0.4321815238
31	0.03185293194	0.5575226956	0.6918981454	0.424755018
32	0.03130686321	0.5490350032	0.7012077858	0.4174385443
33	0.03080687913	0.5409685042	0.7099230828	0.4107593765
34	0.03028877769	0.5331706223	0.7182255353	0.4038181524
35	0.02978838099	0.5253324882	0.7264493637	0.3971276628
36	0.02929250025	0.5178376655	0.7341990786	0.3905093254
37	0.02880734584	0.5104106702	0.7417688083	0.3840047474
38	0.02837482564	0.5034269645	0.7487869728	0.3782315791
39	0.02795177888	0.4967038355	0.7554519315	0.3725831476
40	0.02753822152	0.4901519022	0.7618609621	0.367062442
41	0.02711914612	0.4836093153	0.7681759306	0.361445508
42	0.02672324544	0.4774103552	0.7740809363	0.356168775
43	0.026337115	0.4714365815	0.7796993555	0.3509984308
44	0.02596346158	0.4656334306	0.7850895584	0.3459869435
45	0.02560425521	0.4599850307	0.7902719073	0.3411747606
46	0.02523468096	0.4543720074	0.7953591431	0.3362110226
47	0.02491559211	0.4491180387	0.8000643645	0.3319594472
48	0.02457564827	0.4438148138	0.8047582021	0.3273969148
49	0.02425585924	0.4387916863	0.8091527129	0.3231131744
50	0.0239476416	0.4339400855	0.8133496751	0.3189738847
51	0.0236611274	0.4293166956	0.8173057976	0.3151239552
52	0.02338837699	0.4247943655	0.8211344488	0.3114850809
53	0.02310081879	0.4202575736	0.8249346053	0.3076192244
54	0.02283652616	0.4160272025	0.8284413315	0.3040788002
55	0.02257277013	0.411924792	0.8318081018	0.3005474947
