iter	Passed	Remaining
0	18	90725
1	29	73005
2	39	66260
3	51	64775
4	64	64501
5	77	64122
6	89	63587
7	102	63844
8	115	64271
9	129	64748
10	141	64199
11	154	64127
12	166	63890
13	178	63529
14	190	63225
15	202	63140
16	214	62947
17	226	62756
18	238	62504
19	250	62438
20	262	62172
21	274	62007
22	285	61800
23	298	61806
24	310	61719
25	322	61616
26	333	61404
27	345	61430
28	358	61380
29	369	61172
30	380	61052
31	394	61202
32	406	61211
33	418	61073
34	429	60958
35	442	60995
36	455	61137
37	468	61146
38	480	61061
39	491	60999
40	503	60891
41	514	60784
42	527	60755
43	539	60741
44	550	60653
45	562	60604
46	574	60537
47	586	60466
48	597	60373
49	609	60338
50	621	60308
51	632	60137
52	642	59986
53	653	59892
54	665	59822
55	676	59700
56	693	60164
57	709	60488
58	726	60842
59	740	60967
60	756	61289
61	770	61386
62	786	61639
63	800	61739
64	818	62125
65	832	62232
66	846	62317
67	860	62414
68	874	62486
69	888	62561
70	901	62612
71	916	62714
72	929	62754
73	941	62701
74	953	62614
75	964	62504
76	977	62494
77	989	62453
78	1001	62372
79	1011	62236
80	1023	62127
81	1035	62123
82	1047	62037
83	1059	62026
84	1072	61990
85	1085	62035
86	1098	62028
87	1111	62017
88	1123	61978
89	1138	62130
90	1153	62233
91	1167	62266
92	1181	62361
93	1197	62518
94	1214	62687
95	1228	62754
96	1242	62794
97	1253	62719
98	1264	62613
99	1275	62504
100	1287	62427
101	1297	62308
102	1308	62190
103	1319	62118
104	1332	62102
105	1344	62067
106	1356	62018
107	1367	61947
108	1380	61936
109	1391	61847
110	1401	61739
111	1412	61667
112	1427	61736
113	1439	61707
114	1450	61623
115	1462	61587
116	1475	61562
117	1488	61588
118	1500	61541
119	1511	61460
120	1522	61410
121	1534	61358
122	1545	61290
123	1557	61252
124	1570	61234
125	1581	61171
126	1592	61108
127	1603	61024
128	1615	60991
129	1625	60895
130	1635	60805
131	1646	60719
132	1658	60682
133	1669	60636
134	1682	60627
135	1693	60565
136	1705	60526
137	1716	60468
138	1727	60401
139	1738	60335
140	1748	60261
141	1761	60250
142	1771	60164
143	1784	60183
144	1796	60137
145	1807	60082
146	1817	60005
147	1830	60001
148	1841	59939
149	1852	59904
150	1863	59855
151	1873	59766
152	1885	59742
153	1897	59709
154	1910	59722
155	1922	59706
156	1933	59636
157	1943	59557
158	1954	59501
159	1965	59445
160	1975	59368
161	1986	59332
162	1998	59314
163	2011	59312
164	2022	59261
165	2033	59215
166	2044	59158
167	2055	59115
168	2065	59031
169	2075	58978
170	2086	58921
171	2097	58865
172	2107	58791
173	2118	58757
174	2129	58711
175	2140	58680
176	2154	58707
177	2165	58664
178	2177	58636
179	2187	58583
180	2198	58527
